,giorno,ndosi,5c_second_doses_Pfizer,5c_stock_values_Pfizer,5c_second_doses_Moderna,5c_stock_values_Moderna,5c_second_doses_Astrazeneca,5c_stock_values_Astrazeneca,10c_second_doses_Pfizer,10c_stock_values_Pfizer,10c_second_doses_Moderna,10c_stock_values_Moderna,10c_second_doses_Astrazeneca,10c_stock_values_Astrazeneca
156,156,0,0.0,0.0,1096.5,0.0,0.0,0.0,0.0,0.0,1096.5,0.0,0.0,0.0
157,157,9997274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,158,10000624,5002159.0,0.0,0.0,0.0,0.0,0.0,5002159.0,0.0,0.0,0.0,0.0,0.0
159,159,10002882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,160,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,161,10003143,10003143.0,0.0,0.0,0.0,0.0,0.0,10003143.0,0.0,0.0,0.0,0.0,0.0
162,162,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,163,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,164,9996878,4999264.0,4997614.0,0.0,0.0,0.0,0.0,4999264.0,4997614.0,0.0,0.0,0.0,0.0
165,165,0,0.0,4997614.0,0.0,0.0,0.0,0.0,0.0,4997614.0,0.0,0.0,0.0,0.0
166,166,0,4997614.0,0.0,0.0,0.0,0.0,0.0,4997614.0,0.0,0.0,0.0,0.0,0.0
167,167,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,168,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,169,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,170,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,171,10004295,5004489.0,4999806.0,0.0,0.0,0.0,0.0,5004489.0,4999806.0,0.0,0.0,0.0,0.0
172,172,0,0.0,4999806.0,0.0,0.0,0.0,0.0,0.0,4999806.0,0.0,0.0,0.0,0.0
173,173,10000789,0.0,15000595.0,0.0,0.0,0.0,0.0,0.0,15000595.0,0.0,0.0,0.0,0.0
174,174,0,0.0,15000595.0,0.0,0.0,0.0,0.0,0.0,15000595.0,0.0,0.0,0.0,0.0
175,175,0,0.0,15000595.0,0.0,0.0,0.0,0.0,0.0,15000595.0,0.0,0.0,0.0,0.0
176,176,9998026,0.0,24998621.0,0.0,0.0,0.0,0.0,0.0,24998621.0,0.0,0.0,0.0,0.0
177,177,0,0.0,24998621.0,0.0,0.0,0.0,0.0,0.0,24998621.0,0.0,0.0,0.0,0.0
178,178,0,9997274.0,15001347.0,0.0,0.0,9999792.0,0.0,9997274.0,15001347.0,0.0,0.0,9999792.0,0.0
179,179,0,4998465.0,10002882.0,0.0,0.0,0.0,0.0,4998465.0,10002882.0,0.0,0.0,0.0,0.0
180,180,0,10002882.0,0.0,0.0,0.0,0.0,0.0,10002882.0,0.0,0.0,0.0,0.0,0.0
