instance,c_optimal_value,1.1c_optimal_value,1.2c_optimal_value,1.3c_optimal_value,1.4c_optimal_value,1.5c_optimal_value,1.6c_optimal_value,1.7c_optimal_value,1.8c_optimal_value,1.9c_optimal_value,2c_optimal_value,"28,75%","12,28%","6,52%","4,97%","2,90%","2,15%","1,66%","1,29%","1,00%","0,90%"
,"460000510,983333","249442227,983333","242047826,066667","239644564,566667","238616122,716667","238026410,3","237560433,011111","237157386,727778","236804883,194444","236508973,027778","236244171,383333","84,41%","3,05%","1,00%","0,43%","0,25%","0,20%","0,17%","0,15%","0,13%","0,11%"
,"454453683,272222",289113218,"247661581,961111",245138283,"243180205,922222","241740080,294444","240619342,594444","240110000,433333","239784301,861111","239546088,694444","239352847,683333","57,19%","16,74%","1,03%","0,81%","0,60%","0,47%","0,21%","0,14%","0,10%","0,08%"
,"356952692,722222","278156250,527776","265850167,772222","261197578,938889","257766363,138889","254972327,5","252442146,844444","250081508,1","247745321,222222","245417903,2","243114897,433333","28,33%","4,63%","1,78%","1,33%","1,10%","1,00%","0,94%","0,94%","0,95%","0,95%"
,"486644329,427778","410604590,744444","337278139,816667","281767927,461111","247534083,133333","244805674,366667","242407638,738889","240079812,277778","237883896,2","235763295,427778","233692462,366667","18,52%","21,74%","19,70%","13,83%","1,11%","0,99%","0,97%","0,92%","0,90%","0,89%"
,"383791197,422222","315310934,794444","288975928,694444","284157451,772222","279505378,138889","275083437,838889","270772260,505556","266534327,033333","262336241,494444","258165772,422222","254008361,555556","21,72%","9,11%","1,70%","1,66%","1,61%","1,59%","1,59%","1,60%","1,62%","1,64%"
,"411143410,655556","325625151,222222","254163426,822222","239896530,988889","238811804,938889","238137870,338889","237685494,644444","237434033,5","237196795,144444","236983722,427778","236796317,772222","26,26%","28,12%","5,95%","0,45%","0,28%","0,19%","0,11%","0,10%","0,09%","0,08%"
,"300390911,35","245977557,822222","241004255,077778","239288712,444444","238117008,005556","237210744,661111","236525980,372222","235957326,561111","235464168,227778","235081015,644444","234715737,738889","22,12%","2,06%","0,72%","0,49%","0,38%","0,29%","0,24%","0,21%","0,16%","0,16%"
,"348457145,794444","274978843,066667","269185610,188889","265135064,061111","261474285,416667","258151835,361111","255179149,527778","252402426,677778","249759052,766667","247298725,011111","244891083,944444","26,72%","2,15%","1,53%","1,40%","1,29%","1,16%","1,10%","1,06%","0,99%","0,98%"
,"508227622,655556","448115320,544444","397514262,122222","365947601,361111","335116188,811111","304920590,872222","274999539,627778","270324187,816667","267674212,077778","265146063,322222","262631230,544444","13,41%","12,73%","8,63%","9,20%","9,90%","10,88%","1,73%","0,99%","0,95%","0,96%"
,"636700961,677778","539885767,111111","498351433,055556","457173887,138889","421655854,883333","397325356,622222","378458301,938889","360862107,855556","343358512,883333","326020789,916667","308878223,144444","17,93%","8,33%","9,01%","8,42%","6,12%","4,99%","4,88%","5,10%","5,32%","5,55%"
,"588037186,555556","521014675,461111","455429361,288889","390900989,8","340263966,838889","304381528,316667","268785550,283333","241680060,961111","237703922,105556","236759562,472222","235983344,455556","12,86%","14,40%","16,51%","14,88%","11,79%","13,24%","11,22%","1,67%","0,40%","0,33%"
,"523947262,333333","448596552,727778","374479245,061111","302703558,077778","255452453,227778","248839036,9",242430288,"236253776,488889","235028017,044444","234681762,866667","234388574,133333","16,80%","19,79%","23,71%","18,50%","2,66%","2,64%","2,61%","0,52%","0,15%","0,13%"
,"387506811,45","309934993,422222","235289023,955556","233870598,561111","232958833,494444","232277887,505556","231776694,938889","231340167,772222","230958333,888889","230643444,938889","230387576,383333","25,03%","31,73%","0,61%","0,39%","0,29%","0,22%","0,19%","0,17%","0,14%","0,11%"
,"363731329,188889","244830136,8","242119584,422222","240106589,927778","238432520,227778","237317943,4","236480821,188889","235877609,394444","235356573,427778","234964131,005556","234650488,511111","48,56%","1,12%","0,84%","0,70%","0,47%","0,35%","0,26%","0,22%","0,17%","0,13%"
,"453867230,533333","375753168,416667","347263399,133333","336375960,344444","326655938,05","317301305,338889","308128639,738889","300177863,061111","299528157,55","298989086,033333","298551615,672222","20,79%","8,20%","3,24%","2,98%","2,95%","2,98%","2,65%","0,22%","0,18%","0,15%"
,"376586037,877778","348534057,011111","332330294,494444","320162083,711111","309612466,455556","299515303,633333","289572632,783333","279786462,9","270537349,866667","261529714,333333","252586891,161111","8,05%","4,88%","3,80%","3,41%","3,37%","3,43%","3,50%","3,42%","3,44%","3,54%"
,"584752057,85","501646467,788889","482562975,044444","464777559,755556","447579786,811111","430753962,688889","414106502,866667","397533702,088889","381038853,072222","364657341,894444","348291023,522222","16,57%","3,95%","3,83%","3,84%","3,91%","4,02%","4,17%","4,33%","4,49%","4,70%"
,"452865254,938889","300196195,483333","287931684,927778","285637043,238889","284753253,977778","284155951,605556","283704437,533333","283362853,566667","283045512,816667","282739370,744444","282489136,494444","50,86%","4,26%","0,80%","0,31%","0,21%","0,16%","0,12%","0,11%","0,11%","0,09%"
,"642123301,772222","567204645,638889","498964228,922222","458299911,45","426976339,927778","395861731,288889","364868460,611111","334109146,305556","311373775,466667","311072174,688889","310877561,383333","13,21%","13,68%","8,87%","7,34%","7,86%","8,49%","9,21%","7,30%","0,10%","0,06%"
,"832665265,888889","698169239,961111","639696508,144445","581896336,611111","524343125,638889","500629068,322222","499580756,027778","499001715,066667","498559101,661111","498200231,772222","497845781,794444","19,26%","9,14%","9,93%","10,98%","4,74%","0,21%","0,12%","0,09%","0,07%","0,07%"
,"616203146,122222","506136107,766667","454437921,494444","403792791,422222","353532170,822222","315189826,233333","280109347,011111","261541390,672222","260354706,377778","259783748,838889","259528351,966667","21,75%","11,38%","12,54%","14,22%","12,16%","12,52%","7,10%","0,46%","0,22%","0,10%"
,"560369637,644445","459285422,994444","380800607,466667","316653493,633333","267988823,35","266292078,738889","264905425,655556","264237076,366667","263857135,044444","263585222,694444","263385286,938889","22,01%","20,61%","20,26%","18,16%","0,64%","0,52%","0,25%","0,14%","0,10%","0,08%"
,"428413782,2","319798326,638889","271364482,483333","270144138,972222","269167057,855556","268595916,561111","268200994,033333","267932971,561111","267697315,255556","267492520,816667","267311980,738889","33,96%","17,85%","0,45%","0,36%","0,21%","0,15%","0,10%","0,09%","0,08%","0,07%"
,"599766399,361111","412304429,633333","297691341,7","296024127,538889","295324924,233333","294794124,661111","294373520,216667","294078122,438889","293824538,133333","293615778,05","293407017,816667","45,47%","38,50%","0,56%","0,24%","0,18%","0,14%","0,10%","0,09%","0,07%","0,07%"
,"660660191,066667","574284655,644444","557917425,938889","542095433,75","526445164,316667","516240995,911111","515809646,3","515461891,638889","515178271,75","514935663,711111","514710166,111111","15,04%","2,93%","2,92%","2,97%","1,98%","0,08%","0,07%","0,06%","0,05%","0,04%"
,"553078073,505556","492010316,277778","442182977,455556","393210784,111111","358844484,205556","328891439,05","300454085,861111","280171905,266667","260059985,127778","240027487,233333","234785583,716667","12,41%","11,27%","12,45%","9,58%","9,11%","9,46%","7,24%","7,73%","8,35%","2,23%"
,"584617081,394445","459167803,722222","406133876,35","366773344,066667","327678647,977778","288814785,488889","265538118,777778","264904490,516667","264337777,533333","263864033,344444","263488937,683333","27,32%","13,06%","10,73%","11,93%","13,46%","8,77%","0,24%","0,21%","0,18%","0,14%"
,"434537938,05","373040951,666667",330556749,"288960551,944444","248936415,705556","242092086,55","241469531,916667","241066646,444444","240737864,855556","240515470,338889","240293240,655556","16,49%","12,85%","14,40%","16,08%","2,83%","0,26%","0,17%","0,14%","0,09%","0,09%"
