instance,c_optimal_value,2c_optimal_value,3c_optimal_value,4c_optimal_value,5c_optimal_value,6c_optimal_value,7c_optimal_value,8c_optimal_value,9c_optimal_value,10c_optimal_value,2c vs c,3c vs 2c,4c vs 3c,5c vs 4c,6c vs 5c,7c vs 6c,8c vs 7c,9c vs 8c,10c vs 9c ,,Valori medi,
77,107957951885,52813263207,52726629650,52705682535,52704791243,52704791240,52704791234,52704791231,52704791228,52704791228,"104,41%","0,16%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
78,118918834392,92647829900,92477178389,92438593262,92421968987,92417580228,92413909324,92413909325,92413909323,92413909301,"28,36%","0,18%","0,04%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
79,99554053231,42261405069,42090713100,42054729381,42032065100,42025378677,42025376855,42025378688,42025378707,42025378750,"135,57%","0,41%","0,09%","0,05%","0,02%","0,00%","0,00%","0,00%","0,00%",,,
80,105231074651,47428008783,47169747891,47116848670,47087190994,47083081437,47078968340,47077752706,47077749063,47077749063,"121,88%","0,55%","0,11%","0,06%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
81,78216828849,43252783318,43052792122,42999450769,42971942836,42967784558,42967784487,42967784487,42967784487,42967784456,"80,84%","0,46%","0,12%","0,06%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
82,74263266596,43974920637,43891673089,43872951943,43865961506,43865961512,43865961514,43865961533,43865961538,43865961538,"68,88%","0,19%","0,04%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
83,58472962576,44063991498,43150561334,43099750088,43082751058,43078195505,43075529479,43075529479,43075529432,43075529432,"32,70%","2,12%","0,12%","0,04%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
84,66047914548,47563617282,47412906351,47369530998,47364756663,47364756663,47364756663,47364756663,47364756663,47364756663,"38,86%","0,32%","0,09%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
85,72945240649,50237371550,50107643957,50052946294,50042390646,50035174529,50035172664,50035172663,50035174508,50035174465,"45,20%","0,26%","0,11%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
86,83049086402,69701824951,69568137533,69540881691,69529346737,69529346737,69529346737,69529346737,69529346737,69529346737,"19,15%","0,19%","0,04%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
87,104868598322,50251313920,50068966635,50018061771,49997540408,49992984877,49990321189,49990319343,49990321189,49990321189,"108,69%","0,36%","0,10%","0,04%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
