instance,c_optimal_value,2c_optimal_value,3c_optimal_value,4c_optimal_value,5c_optimal_value,6c_optimal_value,7c_optimal_value,8c_optimal_value,9c_optimal_value,10c_optimal_value
147,99380293752.0,45563882625.0,45465246738.0,45439573431.0,45426241173.0,45426241173.0,45426241173.0,45426241173.0,45426241173.0,45426241173.0
148,75370919083.0,44071586711.0,43933876597.0,43894608008.0,43873105602.0,43870048236.0,43870048271.0,43870048271.0,43870048271.0,43870046402.0
149,86323973383.0,50438944217.0,50263752094.0,50206253053.0,50196238756.0,50191239082.0,50191233188.0,50191233152.0,50191233152.0,50191233144.0
150,94407813363.0,58804870286.0,54066890438.0,49935594448.0,48953271086.0,48947164727.0,48945498341.0,48945496578.0,48945496461.0,48945498382.0
151,102730470853.0,87086891192.0,82300256351.0,78080310533.0,77083045241.0,77083045241.0,77083045229.0,77083045229.0,77083045259.0,77083045259.0
152,104311737162.0,50835007492.0,49370251014.0,49296566719.0,49279897591.0,49275231068.0,49273236489.0,49273236534.0,49273236562.0,49273236562.0
153,114558783705.0,52085453000.0,51913599668.0,51883605519.0,51876495048.0,51875947331.0,51875947329.0,51875947361.0,51875947345.0,51875947367.0
154,81669749948.0,47716135874.0,47533958778.0,47472308495.0,47462302412.0,47462302407.0,47462302437.0,47462302444.0,47462302429.0,47462302454.0
155,85289466467.0,42168718830.0,42024482624.0,41995583883.0,41977832316.0,41977832316.0,41977832316.0,41977834143.0,41977834109.0,41977832291.0
156,70475303888.0,42636802371.0,42483769651.0,42449651406.0,42424762356.0,42424762356.0,42424762317.0,42424762367.0,42424762367.0,42424762383.0
157,97379048151.0,48012507556.0,47854824912.0,47816504564.0,47803166963.0,47803166963.0,47803166956.0,47803166978.0,47803166988.0,47803166931.0
158,89538793895.99992,54692743081.0,54538847979.0,54488298830.0,54479130716.0,54475521160.0,54475521189.0,54475521198.0,54475521167.0,54475521185.0
159,117827136845.0,58405523999.0,58267253006.0,58230607383.0,58230607413.0,58230607438.0,58230607430.0,58230607437.0,58230607388.0,58230607434.0
160,102542156770.0,54535652461.0,54425666383.0,54398999043.0,54388332271.0,54381684334.0,54381684334.0,54381684334.0,54381684334.0,54381684334.0
161,97612761724.99976,51515804807.0,51368619026.0,51308642437.0,51303618026.0,51298624366.0,51298624369.0,51298624366.0,51298624357.0,51298624343.0
162,125880872744.0,101157121746.0,100944637004.0,100872703478.0,100862592920.0,100853138086.0,100853138086.0,100853138086.0,100853138086.0,100853138086.0
163,104485043059.0,52159790590.0,52054449742.0,51998301911.0,51996328726.0,51996326906.0,51996326862.0,51996326869.0,51996326865.0,51996326865.0
164,101831776301.0,50671516744.0,50553584274.0,50506944112.0,50502954744.0,50502956560.0,50502956560.0,50502956563.0,50502956560.0,50502956560.0
